№,Продукт,"Дни просрочки",Сцепка,"Вероятность взыскания","Ставка резерва",База,"Расчет суммы",Потери,База,Расчет,Потери,"Истина/ Ложь для резерва по стандартному сценарию","Истина/ Ложь для резерва по сценарию реструктуризации"
66,Автокредиты,65,Автокредиты65,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
67,Автокредиты,66,Автокредиты66,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
68,Автокредиты,67,Автокредиты67,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
69,Автокредиты,68,Автокредиты68,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
70,Автокредиты,69,Автокредиты69,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
71,Автокредиты,70,Автокредиты70,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
72,Автокредиты,71,Автокредиты71,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
73,Автокредиты,72,Автокредиты72,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
74,Автокредиты,73,Автокредиты73,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
75,Автокредиты,74,Автокредиты74,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
76,Автокредиты,75,Автокредиты75,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
77,Автокредиты,76,Автокредиты76,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
78,Автокредиты,77,Автокредиты77,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
79,Автокредиты,78,Автокредиты78,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
80,Автокредиты,79,Автокредиты79,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
81,Автокредиты,80,Автокредиты80,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
82,Автокредиты,81,Автокредиты81,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
83,Автокредиты,82,Автокредиты82,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
84,Автокредиты,83,Автокредиты83,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
85,Автокредиты,84,Автокредиты84,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
86,Автокредиты,85,Автокредиты85,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
87,Автокредиты,86,Автокредиты86,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
88,Автокредиты,87,Автокредиты87,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
89,Автокредиты,88,Автокредиты88,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
90,Автокредиты,89,Автокредиты89,0.76033915761089,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
91,Автокредиты,90,Автокредиты90,0.54495299275984,0.1012,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
92,Автокредиты,91,Автокредиты91,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
93,Автокредиты,92,Автокредиты92,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
94,Автокредиты,93,Автокредиты93,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
95,Автокредиты,94,Автокредиты94,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
96,Автокредиты,95,Автокредиты95,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
97,Автокредиты,96,Автокредиты96,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
98,Автокредиты,97,Автокредиты97,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
99,Автокредиты,98,Автокредиты98,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
100,Автокредиты,99,Автокредиты99,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
101,Автокредиты,100,Автокредиты100,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
102,Автокредиты,101,Автокредиты101,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
103,Автокредиты,102,Автокредиты102,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
104,Автокредиты,103,Автокредиты103,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
105,Автокредиты,104,Автокредиты104,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
106,Автокредиты,105,Автокредиты105,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
107,Автокредиты,106,Автокредиты106,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
108,Автокредиты,107,Автокредиты107,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
109,Автокредиты,108,Автокредиты108,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
110,Автокредиты,109,Автокредиты109,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
111,Автокредиты,110,Автокредиты110,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
112,Автокредиты,111,Автокредиты111,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
